Bid made: 2020/06/01 13:22:52.126058, BTC/USDT, Price: 11474.3, Amount: 4.92178e-09
Bid made: 2020/06/01 13:23:07.146131, BTC/USDT, Price: 11467.3, Amount: 4.51356e-09
Bid made: 2020/06/01 13:23:22.168457, BTC/USDT, Price: 11454.4, Amount: 4.14136e-09
Bid made: 2020/06/01 13:23:37.189272, BTC/USDT, Price: 11464.9, Amount: 3.79206e-09
Bid made: 2020/06/01 13:23:52.208346, BTC/USDT, Price: 11469.7, Amount: 3.47398e-09
Bid made: 2020/06/01 13:24:07.227240, BTC/USDT, Price: 11467.4, Amount: 3.18453e-09
Bid made: 2020/06/01 13:24:22.245626, BTC/USDT, Price: 11462.8, Amount: 2.9198e-09
Bid made: 2020/06/01 13:24:37.266321, BTC/USDT, Price: 11467.3, Amount: 2.67494e-09
Bid made: 2020/06/01 13:24:52.285603, BTC/USDT, Price: 11460.9, Amount: 2.45296e-09
Bid made: 2020/06/01 13:25:07.303204, BTC/USDT, Price: 11466.7, Amount: 2.24699e-09
Bid made: 2020/06/01 13:25:22.322132, BTC/USDT, Price: 11466.7, Amount: 2.05937e-09
Bid made: 2020/06/01 13:25:37.343614, BTC/USDT, Price: 11466.7, Amount: 1.88741e-09
Bid made: 2020/06/01 13:25:52.362990, BTC/USDT, Price: 11464.7, Amount: 1.73012e-09
Bid made: 2020/06/01 13:26:07.383207, ETH/BTC, Price: 0.0299646, Amount: 7.6402
Bid made: 2020/06/01 13:26:22.402742, ETH/BTC, Price: 0.0299585, Amount: 7.00368
Bid made: 2020/06/01 13:26:37.421542, ETH/BTC, Price: 0.0299752, Amount: 6.99977
Bid made: 2020/06/01 13:26:52.439260, ETH/BTC, Price: 0.0299752, Amount: 6.99978
Bid made: 2020/06/01 13:27:07.459114, ETH/BTC, Price: 0.0299782, Amount: 6.41464
Bid made: 2020/06/01 13:27:22.478695, BTC/USDT, Price: 11477.9, Amount: 1.58382e-09
Bid made: 2020/06/01 13:27:37.503148, BTC/USDT, Price: 11479.4, Amount: 1.45139e-09
Bid made: 2020/06/01 13:27:52.522956, BTC/USDT, Price: 11486.8, Amount: 1.32934e-09
Bid made: 2020/06/01 13:28:07.541620, BTC/USDT, Price: 11485.2, Amount: 1.21851e-09
Bid made: 2020/06/01 13:28:22.562226, BTC/USDT, Price: 11486.3, Amount: 1.11666e-09
Bid made: 2020/06/01 13:28:37.582144, BTC/USDT, Price: 11478.1, Amount: 1.02415e-09
Bid made: 2020/06/01 13:28:52.595269, BTC/USDT, Price: 11482.2, Amount: 9.383e-10
Bid made: 2020/06/01 13:29:07.610533, BTC/USDT, Price: 11485.7, Amount: 8.59688e-10
Bid made: 2020/06/01 13:29:22.627924, BTC/USDT, Price: 11495.3, Amount: 7.87245e-10
Bid made: 2020/06/01 13:29:37.647635, BTC/USDT, Price: 11492, Amount: 7.21717e-10
Bid made: 2020/06/01 13:29:52.664921, BTC/USDT, Price: 11493.3, Amount: 6.61382e-10
